input_index,action_candidate,sequence_status,fix_applied,detail,prev_start_sec,prev_end_sec,cur_start_sec,cur_end_sec,dropped_index,inserted_round_no,inserted_start_sec,inserted_end_sec,ocr_scan_results
24,manual_check,map_change_or_ocr_error,manual_review_required,Kept row for manual review,,,3242.239,3284.281,,,,,
33,inspect_between,missing_round_between,insert_missing_round_between,Inserted missing round found by OCR scan,4055.051,4269.265,4358.354,4489.485,,10.0,4269.265,4269.265,"[{""t_sec"": 4269.265, ""round_no"": 10, ""error"": null}, {""t_sec"": 4274.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4279.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4284.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4289.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4294.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4299.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4304.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4309.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4314.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4319.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4324.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4329.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4334.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4339.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4344.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4349.265, ""round_no"": null, ""error"": null}, {""t_sec"": 4354.265, ""round_no"": null, ""error"": null}]"
42,drop_previous,drop_previous_candidate,drop_shorter_previous,"{""prev_duration_sec"": 12.011999999999516, ""cur_duration_sec"": 86.08600000000004, ""prev_round_no_ocr_start"": 19, ""cur_round_no_ocr_start"": 19}",5596.591,5607.602,5679.674,5764.759,41.0,,,,
0,keep,first,map_ocr,current_map=HAVEN,,,9.009,78.078,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 10.009}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 12.009}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 14.009}]"
1,keep,ok,map_ocr,current_map=HAVEN,,,106.106,203.203,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 107.106}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 109.106}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 111.106}]"
2,keep,ok,map_ocr,current_map=HAVEN,,,235.235,278.278,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 236.235}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIOER: ABYSS"", ""t_sec"": 238.235}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 240.235}]"
3,keep,ok,map_ocr,current_map=HAVEN,,,297.297,390.39,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 298.297}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 300.297}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 302.297}]"
4,keep,ok,map_ocr,current_map=HAVEN,,,421.421,515.515,,,,,"[{""current_map"": null, ""ocr_text"": ""CURRENT: IAVEN NEXT PEARL DECIOER: ABYSS"", ""t_sec"": 422.421}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 424.421}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 426.421}]"
5,keep,ok,map_ocr,current_map=HAVEN,,,542.542,650.65,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 543.542}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 545.542}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 547.542}]"
6,keep,ok,map_ocr,current_map=HAVEN,,,736.736,862.862,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 737.736}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 739.736}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 741.736}]"
